疒	ab	bìng 病字头	疒疗
丁	ad	dīng	宁
㇆ 乛⺄㇗乚ヿㄋㄅ	ae	zhé 折笔	成 买今迅断扎丑扬与专
丰 龶	af	fēng	蚌 邦 青堇 勤
缶 	af	fǒu	缶窑 卸
鬼	ag	guǐ	魂魅
乙	ai	yǐ	忆
六	al	liù	交冥
耒	al	lěi	耒耗
门	am	mén	扪问
皿	am	mǐn	盘
片 爿丬	ap	piàn	牌 爿寐状北鼎鼐
舌 	as	shé	敌 舍
未	aw	wèi	朱昧
弓	bg	gōng	张弱
乂 㐅	bi	yì	义 区丈 驳
彐 彑	bj	jì	彐寻 尹录互虐
 	bk	kuàng 印左框	印迎 乐
卵	bl	luǎn	孵
卯 	bm	mǎo	卯昴卿 留
面	bm	miàn	湎
女	bn	nǚ	妆
氏	bs	shì	氏纸
聿 肀	bv	yù	聿律 唐争剚妻
云 	by	yún	昙芸 充梳
不	cb	bù	坏
虫 	cc	chóng	融 贵
飞	cf	fēi	飞
古	cg	gǔ	居
火 灬	ch	huǒ	炎 兼孪 严亦杰
支	ci	zhī	技
及	cj	jí	吸
尸 	cs	shī	卢 眉假
业	cy	yè	亚普
口 〇	dk	kǒu	扣 〇
里	dl	lǐ	童
民	dm	mín	眠
黾	dm	mǐn	黾绳
无 旡	du	wú	抚 既
由	dy	yóu	油
干	eg	gān	杆
见	ej	jiàn	视
木 朩	em	mù	休棘 亲
欠	eq	qiàn	坎
彡 	es	shān	须 勿
𠂉	et	tóu 乞字头	午乞
穴 	ex	xué	穴 空
也	ey	yě	池
㡀	fb	bì	敝
辰	fc	chén	唇振
骨 冎	fg	gǔ	骨猾 喎
一 ㇀	fi	yī	百丞 刁孑
且	fq	qiě	沮县
示 礻	fs	shì	标 礻礼
亡 亾	fw	wáng	荒 亾曷
歹 歺	gd	dǎi	死夙 粲睿
高 	gg	gāo	搞 京亭膏
句	gj	jù	狗
丨 亅	gs	shù 竖	申
士	gs	shì	仕
土	gt	tǔ	圣
韦	gw	wéi	围
羊 ⺷⺶芈	gy	yáng	祥 美 噗差 幸芈
八 丷䒑癶	hb	bā	扒 平梁 关善 兴凳祭
夫	hf	fū	失券
谷 	hg	gǔ	容 睿
子	hi	zǐ	仔孔
夂 夊	hi	zhǐ	务 复麸
攵 攴	hp	pū	孜 攴敲
壴 	hu	zhù	壴喜 鼓
心 忄⺗	hx	xīn	息 性添
册 	ic	cè	栅 扁典
丶 ㇏	id	diǎn 点	丶玉刃 春尺
艮 	ig	gěn	痕良 即
丩	ij	jiū	纠
立 	il	lì	垃 产
舟	io	zhōu	船
糸 纟	is	sī	系 细
予	iv	yǔ	矛抒
乡	ix	xiāng	乡雍
幺	iy	yāo	玄兹幽
斗	jd	dǒu	抖
亼 亽	ji	jí	合 令险
仑 侖	jl	lún	论 龠
人 亻	jr	rén	仄 亻什
豕 	js	shǐ	豪遂 缘
入	ju	rù	入籴
寸	kc	cùn	耐
亥	kh	hài	咳
㠯	ki	yǐ	官
九	kj	jiǔ	丸究抛
母	km	mǔ	拇
水 氵⺍氺	ks	shuǐ	冰承 没学益求永聚鳏
厶 龴	ks	sī	私 勇悬 惠
毋 毌	ku	wú	毋毐 贯
艹 廾丌艸	lc	cǎo 草字头	苦 开戒 鼻艸
齿	lc	chǐ	啮
而	le	ér	需
方	lf	fāng	妨
廿 龷	ln	niàn	廿世燕 共
千	lq	qiān	重垂歼
生	ls	shēng	姓
卅 	ls	sà	卅 带
夕	lx	xī	名岁
卌	lx	xì	卌舞
牙	ly	yá	芽
巴	mb	bā	吧
大	md	dà	夭
二	me	èr	亏仁
光 	mg	guāng	晃 耀
户 	mh	hù	庐 所
豸	mi	zhì	豸貌
冂 凵⺆	mk	kuàng 框	冂内冇 凶周 凹兕 泱囧
两	ml	liǎng	辆
犬 犭	mq	quǎn	突 犭猝
石	ms	shí	拓
甫	nf	fǔ	甫捕
鬲	ng	gé	鬲隔
黄	nh	huáng	横
勹	nk	kuàng 框	勹勺包
匚 コ	nk	kuàng 框	汇匡 决巨
马	nm	mǎ	冯
十 𠂇	ns	shí	汁截囊 宏戎 于
戊 戉	nu	wù	戊咸 臧越
王	nw	wáng	旺
辛	nx	xīn	宰辩
贝	ob	bèi	员
川 巛巜	oc	chuān	驯 州鎏巡粼
自	oi	zì	夏咱
几 ⺇	oj	jǐ	冗 风颃
日 曰⺜	or	rì	旦昔 曰汩冒临
矢	os	shǐ	矩矣
尤 尢	oy	yóu	优 尬
长 镸	pc	cháng	帐 肆套
刀 〢刂リ	pd	dāo	召叨 坚删帅渊万辨黎
儿 	pe	ér	先允 沈鸩顽
戈 	pg	gē	戏或栈鹅 烧
黑 	ph	hēi	墨嘿 默
弋	pi	yì	代式武
臼 	pj	jiù	臼舀 舆
米 	pm	mǐ	屎 鬯
鼠 	ps	shǔ	鼬 邋
足 ⻊	pu	zú	促 跟
行	px	xíng	街珩
走	pz	zǒu	徒
臣 	qc	chén	臣 姬
耳	qe	ěr	茸嘬
井 	qj	jǐng	阱 塞
老 耂	ql	lǎo	佬 孝
目 	qm	mù	相 具直
牛 牜⺧	qn	niú	件 牡告
齐	qq	qí	挤 齑
食 饣	qs	shí	餍喰 饣饮
田	qt	tián	果亩
非	rf	fēi	辈扉
之	ri	zhī	乏芝
巾	rj	jīn	吊制
囗(框)	rk	kuàng 框	囗困
了	rl	liǎo	亨
皮	rp	pí	披
七 	rq	qī	托 东切
殳	rs	shū	殳设
竹 ⺮	ru	zhú	竹 答监
瓦	rw	wǎ	瓷瓯
又 ス	ry	yòu	奴 劲
屮 	sc	cǎo	出 逆发屯顿
各	sg	gè	洛
止 龰	si	zhǐ	正 此步徙捷
甲	sj	jiǎ	甲匣
力	sl	lì	办夯
尚 龸	ss	shàng	躺 掌尝
言 讠	sy	yán	詹 讠谁
阝	te	ěr 耳朵旁	队邓
弗 𢎨𠂔	tf	fú	拂 弟姊
革	tg	gé	革勒
衣 衤	ti	yī	依哀 衤被农畏旅
斤 	tj	jīn	听 丘兵乒乓
龙	tl	lóng	袭
丿 ㇒	tp	piě 撇	丿么 壬曳
疋 𤴓⺪	ts	shū	旋 定疏
三	ts	sān	兰
雨 ⻗	tv	yǔ	漏 雷
用 	ty	yòng	角甩 甬
白	ub	bái	伯卑
辶	uc	chuò	退
工	ug	gōng	扛
隹	ui	zhuī	难雁集
手 扌龵	us	shǒu	拿 扌打看段 半击 那判 褎
廴	uy	yǐn	廴廷延
匕 	vb	bǐ	旨呲 化比以
已	vi	yǐ	已
己 	vj	jǐ	己记 凯
㐄 	vk	kuà 同跨	降 年
毛	vm	máo	毛娓毯
乃 	vn	nǎi	扔 凸
气	vq	qì	汽氧
禸 ⽱	vr	róu	禸 禺噙
山	vs	shān	仙
巳	vs	sì	巷祀
文	vw	wén	吝斐
西 覀	vx	xī	洒 贾
月 ⺝	vy	yuè	朋 肯丽夜燃
乍	wa	zhà	昨
冫 ⺀	wb	bīng	冫冻 脊兆头
彳 亍	wc	彳chì，亍chù	彳待 亍
宀 冖	wg	gài 宝盖头，秃宝盖	宋 深
龟	wg	guī	龟阄
兔 	wt	tù	兔冤 免
五	wu	wǔ	伍
鱼 𩵋	wv	yú	鱼鲜 衡
象	wx	xiàng	像
页 頁	wy	yè	顷 頁寡耰
厂 ⺁	xc	chǎng	历 卮
⺈ 	xd	dāo 同刀	急 久玺
广	xg	guǎng	庄
禾 	xh	hé	禾种乘 余
鹿	xl	lù	鹿麒
鸟 	xn	niǎo	鸣 岛
束	xs	shù	赖辣柬
乌	xu	wū	乌呜
音	xy	yīn	章韵黯
爪 爫	ya	zhuǎ	抓爬 爫采捋乳浮
卜 ⺊	yb	bǔ	卜补 上卡叔
车 車	yc	chē	军 轩車墼
瓜	yg	guā	孤
至	yi	zhì	致室窒
曲	yq	qǔ	曹蛐
四 罒	ys	sì	驷 罒睾
小 ⺌𡭔	yx	xiǎo	尔 当练少
酉	yy	yǒu	酋奠
豆	zd	dòu	厨壹
甘 	zg	gān	某柑 其甚
