的	u_ unid	白勹丶
一	f_ fi	一
是	o_ ots	日
了	r_ rl2	了
不	c_ cb2	不
在	n_ nggt2	𠂇丨土
有	nv_ nvy2	𠂇⺝
个	jg_ jgs2	人丨
人	j_ jr2	人
这	vu_ vuc3	文辶
上	yf_ yfi	⺊一
中	d_ dgs	口丨
大	m_ md2	大
为	i_ isid	丶力丶
来	a_ ahb	未丷
我	t_ tupg	丿扌戈
到	y_ ypd2	至刂
出	sm_ smk	屮凵
要	v_ vbn2	覀女
以	vj_ vjr	人
时	ok_ okc	日寸
和	x_ xdk	禾口
地	ge_ gey	土也
们	ja_ jam	亻门
得	w_ wofk	彳日一寸
可	z_ zk2	可
下	fy_ fyb	一卜
对	rk_ rkc	又寸
生	ls	生
也	e_ ey2	也
子	hi	子
就	g_ gyoy	小尤
过	ku_ kuc	寸辶
能	k_ kvvv	厶⺝匕
他	je_ jey	亻也
会	jb_ jby	人云
多	ll_ llx	夕夕
发	sr_ srid	又丶
说	s_ shdp	讠丷口儿
而	l_ le2	而
于	fn_ fns	一
自	oi	自
之	ri	之
用	ty	用
年	ev_ evk	𠂉
行	p_ px2	行
家	wj_ wjs	宀豕
方	lf	方
后	xf_ xfdk	⺁一口
作	jw_ jwa	亻乍
成	na_ nae	戊㇆
开	fl_ flc	一廾
面	bm	面
事	fd_ fdbv	一口
好	bh_ bhi	女子
小	yx	小
心	hx	心
前	hv_ hvpd	䒑⺝刂
所	mt_ mtj2	斤
道	h_ houc	䒑自辶
法	kg_ kgks	氵土厶
如	b_ bdk	女口
进	qu_ quc2	井辶
着	gq_ gqm	⺶目
同	mf_ mfdk	冂一口
经	ir_ irug	纟ス工
分	hp_ hpd2	八刀
定	wt_ wts	宀疋
都	q_ qote	耂日阝
然	vm_ vmch	犬灬
与	fa_ fafi	一ㄅ一
本	ef_ efi	木一
还	cu_ cuc	不辶
其	zh_ zhb	
当	yb_ ybj	⺌彐
起	pv_ pvj	走己
动	bs_ bsl2	云力
已	vi	已
两	ml	两
点	yd_ ydch	⺊口灬
从	jj_ jjr	人人
问	adk	门口
里	dl	里
主	in_ inw	丶王
实	ww_ wwmd	宀⺀大
天	fm_ fmd2	一大
高	gg	高
去	gk_ gks2	土厶
现	ne_ nej	王见
长	pc	长
此	sv_ svb	匕
三	ts	三
将	alk_ alkc	丬夕寸
无	du	无
国	rn_ rnid	囗王丶
全	jn_ jnw	人王
文	vw	文
理	ndl	王里
明	ov_ ovy	日月
日	or	日
些	svm_ svme	匕二
看	uq_ uqm	龵目
只	dh_ dhb2	口八
公	hk_ hks	八厶
